Name,SSN,Salary,Address,Dname,Experience
Harsha,9000,30000,Patna,Civil,3
Amith,9001,30001,Ballari,ISE,2
Kumar,9002,30002,Ballari,ISE,2
Chinmaya,9003,30003,Mangaluru,ISE,1
Krishna,9004,30004,Karkal,ISE,2
Bharath,9005,30005,Ballari,ISE,1
Gagan,9006,30006,Delhi,EEE,1
Deepu,9007,30007,Delhi,EEE,3
Smriti,9008,30008,Mumbai,CSE,3
Hari,9009,30009,Hubli,CSE,2
Shahsi,9010,30010,Bengaluru,CSE,2
Manka,9011,30011,Shivmoga,ECE,1
Nikhil,9012,30012,Shivmoga,ISE,2
Prasanna,9013,30013,Vijayapura,MECH,3
Aftab,9014,30014,Ballari,EEE,1
Vaibhav,9015,30015,Dharwad,ECE,2
Sujan,9016,30016,Mangaluru,ISE,3
Muthu,9017,30017,Gulbarga,ECE,2
Harish,9018,30018,Tumkur,CSE,1
Arjun,9019,30019,Kolar,MECH,1
